name,occupation,summary,birthday,deathday
John Philips,Poet,The Splendid Shilling,30-Dec-1676,15-Feb-1708
Katharine Philips,Poet,Letters of Orinda to Poliarchus,01-Jan-1631,22-Jun-1664
Lee Philips,Film Director,TV movie director,10-Jan-1927,03-Mar-1999
Ryan Phillippe,Actor,Little Boy Blue,10-Sep-1974,-
Anthony Phillips,Guitarist,Original guitarist for Genesis,23-Dec-1951,-
Barney Phillips,Actor,Character actor,20-Oct-1913,17-Aug-1982
"Baxter F. Phillips, Jr.",Business,CEO of Massey Energy,c. 1946,-
Bijou Phillips,Musician,I'd Rather Eat Glass,01-Apr-1980,-
Bum Phillips,Football,"Coach of the Houston Oilers, New Orleans Saints",29-Sep-1923,-
Caryl Phillips,Novelist,Crossing the River,13-Mar-1958,-
"Charles E. Phillips, Jr.",Business,"President of Oracle, 2003-10",c. 1960,-
Chynna Phillips,Singer,Wilson Phillips,12-Feb-1968,-
David C. Phillips,Business,"Former Partner, Arthur Andersen",c. 1938,-
David Graham Phillips,Journalist,Susan Lenox: Her Fall and Rise,31-Oct-1867,24-Jan-1911
Earl N. Phillips,Diplomat,"US Ambassador to Barbados, 2002-03",?,-
Ethan Phillips,Actor,Neelix on Star Trek: Voyager,08-Feb-1955,-
Graham H. Phillips,Business,"CEO of Young & Rubicam, 1999-2000",c. 1939,-
Grant Lee Phillips,Musician,Grant Lee Buffalo frontman,01-Sep-1963,-
Howard Phillips,Activist,"Founder, US Taxpayers Party",06-Feb-1941,-
Irna Phillips,Film/TV Producer,Queen of soap operas,01-Jul-1901,23-Dec-1973
John Phillips,Musician,The Mamas and the Papas,30-Aug-1935,18-Mar-2001
John Phillips,Educator,Founder of Phillips Exeter Academy,27-Dec-1719,21-Apr-1795
Judson W. Phillips,Attorney,Tea Party Nation,c. 1959,-
Julianne Phillips,Actor,Actress/wife of Bruce Springsteen,13-May-1960,-
Kevin Phillips,Pundit,Political commentator,30-Nov-1940,-
Kyra Phillips,Journalist,CNN anchor,08-Aug-1968,-
Lawrence Phillips,Football,Troubled former pro football player,12-May-1975,-
Leon C. Phillips,Politician,"Governor of Oklahoma, 1939-43",09-Dec-1890,27-Mar-1958
Leslie Phillips,Actor,Not Now Darling,20-Apr-1924,-
Lou Diamond Phillips,Actor,Young Guns II,17-Feb-1962,-
Mackenzie Phillips,Actor,Julie on One Day at a Time,10-Nov-1959,-
Michelle Phillips,Singer/Songwriter,The Mamas and the Papas,04-Jun-1944,-
Peg Phillips,Actor,Ruth-Anne Miller on Northern Exposure,20-Sep-1918,07-Nov-2002
Randall Brooks Phillips,Journalist,Spectrum Media,16-Feb-1967,-
Sam Phillips,Musician,Martinis and Bikinis,28-Jan-1962,-
"Samuel Phillips, Jr.",Educator,Founder of Phillips Academy,05-Feb-1752,10-Feb-1802
Samuel F. Phillips,Attorney,"US Solicitor General, 1872-85",18-Feb-1824,18-Nov-1903
Siân Phillips,Actor,"I, Claudius",14-May-1934,-
Stone Phillips,Journalist,Blow-dried news reader,02-Dec-1954,-
Stu Phillips,Composer,"Television composer, Knight Rider",09-Sep-1929,-
Susan M. Phillips,Educator,"Dean, GWU School of Business",23-Jan-1944,-
Thomas L. Phillips,Publisher,Phillips Publishing International,25-Dec-1941,-
Tim Phillips,Activist,"President, Americans for Prosperity",c. 1963,-
Todd Phillips,Film Director,Old School,20-Dec-1970,-
Wade Phillips,Football,"Defensive coordinator, Houston Texans",21-Jun-1947,-
Warren H. Phillips,Publisher,"Chairman of Dow Jones, 1975-91",28-Jun-1926,-
William D. Phillips,Physicist,Trapped atoms with laser light,05-Nov-1948,-
Joaquin Phoenix,Actor,Gladiator,28-Oct-1974,-
Rain Phoenix,Singer,Papercranes vocalist,21-Nov-1972,-
River Phoenix,Actor,My Own Private Idaho,23-Aug-1970,31-Oct-1993
Summer Phoenix,Actor,The Laramie Project,10-Dec-1978,-
Kaysone Phomvihane,Head of State,"Prime Minister of Laos, 1975-91",13-Dec-1920,21-Nov-1992
Nouhak Phoumsavanh,Head of State,"President of Laos, 1992-98",09-Apr-1910,09-Sep-2008
Philip Syng Physick,Doctor,Father of American surgery,07-Jul-1768,15-Dec-1837
Edith Piaf,Singer,Internationally-renowned French chanteuse,19-Dec-1915,11-Oct-1963
Jean Piaget,Psychologist,Elaborated the stages of childhood,09-Aug-1896,17-Sep-1980
Maurice Pialat,Film Director,À nos amours,21-Aug-1925,11-Jan-2003
Sandra Pianalto,Economist,"President and CEO, Cleveland Fed",04-Aug-1954,-
Renzo Piano,Architect,Designed the Pompidou Center rehab,14-Sep-1937,-
Nicole W. Piasecki,Business,President of Boeing Japan,c. 1963,-
Gregor Piatigorsky,Cellist,Russian-American cello virtuoso,17-Apr-1903,06-Aug-1976
Mike Piazza,Baseball,Mets catcher,04-Sep-1968,-
Francis Picabia,Painter,"Cubist, Dadaist",22-Jan-1879,30-Nov-1953
Henry Picard,Golf,Winner of 2 Majors,28-Nov-1906,30-Apr-1997
Irving Picard,Attorney,Overseeing Madoff recoupment,c. 1941,-
Luc Picard,Actor,L'Audition,24-Sep-1961,-
Robert Picardo,Actor,Holographic doctor on Star Trek: Voyager,27-Oct-1953,-
Pablo Picasso,Painter,Abstract painter and sculptor,25-Oct-1881,08-Apr-1973
Auguste Piccard,Physicist,First man in the stratosphere,28-Jan-1884,24-Mar-1962
Jean Piccard,Aviator,Extreme balloonist,28-Jan-1884,28-Jan-1963
Michel Piccoli,Actor,La Belle Noiseuse,27-Dec-1925,-
Brian Piccolo,Football,"Bears FB, subject of Brians Song",31-Oct-1943,16-Jun-1970
C. A. Lance Piccolo,Business,HealthPic Consultants,c. 1940,-
Paul Picerni,Actor,Lee Hobson on The Untouchables,01-Dec-1922,12-Jan-2011
Irving Pichel,Film Director,Destination Moon,24-Jun-1891,13-Jul-1954
Patrick Pichette,Business,CFO of Google,c. 1963,-
Joseph A. Pichler,Business,"CEO of Kroger, 1990-2003",02-Oct-1939,-
Thomas J. Pickard,Government,"Acting FBI Director, 2001",1950,-
"James Pickens, Jr.",Actor,Dr. Richard Webber on Grey's Anatomy,26-Oct-1954,-
Slim Pickens,Actor,Tough cowboy actor,29-Jun-1919,08-Dec-1983
T. Boone Pickens,Business,"Texas oilman, founded Mesa Petroleum",22-May-1928,-
Chip Pickering,Politician,"Congressman from Mississippi, 1997-2009",10-Aug-1963,-
Edward Charles Pickering,Astronomer,Photometer inventor and surveyor,19-Jul-1846,03-Feb-1919
Thomas Pickering,Diplomat,Career US Ambassador,05-Nov-1931,-
Timothy Pickering,Politician,"US Secretary of State, 1795-1800",17-Jul-1745,29-Jan-1829
Boris Pickett,Singer/Songwriter,Monster Mash,11-Feb-1938,25-Apr-2007
Cecil B. Pickett,Biologist,"Ezetrol, Singulair, and Vioxx",05-Oct-1945,-
Cindy Pickett,Actor,Ferris Bueller's Day Off,18-Apr-1947,-
George Pickett,Military,Battle of Gettysburg,16-Jan-1825,30-Jul-1875
Joe K. Pickett,Business,"HomeSide International, Inc.",c. 1945,-
Owen B. Pickett,Politician,"Congressman from Virginia, 1987-2001",31-Aug-1930,27-Oct-2010
Wilson Pickett,Singer/Songwriter,In the Midnight Hour,18-Mar-1941,19-Jan-2006
Mary Pickford,Actor,America's Sweetheart,08-Apr-1892,29-May-1979
Jake Pickle,Politician,Congressman from Texas 1963-95,11-Oct-1913,18-Jun-2005
Kellie Pickler,Singer,"Country singer, American Idol",28-Jun-1986,-
Christina Pickles,Actor,Judy Geller on Friends,17-Feb-1935,-
Clifford A. Pickover,Mathematician,Mathematician and prolific author,15-Aug-1957,-
Robert Pickton,Criminal,"Canadian pig farmer, serial killer",c. 1949,-
Giovanni Pico della Mirandola,Philosopher,Italian philosopher and mystic,24-Feb-1463,17-Nov-1494
Molly Picon,Actor,Yiddish theatre actress,01-Jun-1898,05-Apr-1992
Jeffry M. Picower,Business,Became billionaire via Madoff's Ponzi,05-May-1942,25-Oct-2009
Jim Piddock,Actor,A Mighty Wind,08-Apr-1956,-
Rebecca Pidgeon,Actor,The Spanish Prisoner,10-Oct-1965,-
Walter Pidgeon,Actor,How Green Was My Valley,23-Sep-1897,25-Sep-1984
Wilhelm Pieck,Head of State,"President of East Germany, 1949-60",03-Jan-1876,07-Sep-1960
Brock Pierce,Actor,First Kid,14-Nov-1980,-
David Hyde Pierce,Actor,Niles on Frasier,03-Apr-1959,-
Franklin Pierce,Head of State,14th President of the U.S.,23-Nov-1804,08-Oct-1869
Harvey R. Pierce,Business,"CEO of American Family Insurance, 1999-2006",1942,-
Jane Pierce,First Lady,Wife of US President Franklin Pierce,12-Mar-1806,02-Dec-1863
Justin Pierce,Actor,Kids,21-Mar-1975,10-Jul-2000
Mary Pierce,Tennis,Winner of 4 Grand Slam titles,15-Jan-1975,-
Paul Pierce,Basketball,Boston Celtics guard/forward,13-Oct-1977,-
Roger D. Pierce,Diplomat,US Ambassador to Cape Verde,?,-
Samuel R. Pierce,Politician,"US Secretary of HUD, 1981-89",08-Sep-1922,31-Oct-2000
Wendell Pierce,Actor,Det. Moreland on The Wire,08-Dec-1962,-
William Pierce,Author,The Turner Diaries,11-Sep-1933,23-Jul-2002
Marge Piercy,Novelist,Gone to Soldiers,31-Mar-1936,-
Alfred A. Piergallini,Business,"CEO of Gerber, 1990-99",c. 1946,-
Mario Pieri,Mathematician,Italian geometer,22-Jun-1860,01-Mar-1913
Piero della Francesca,Painter,The Legend of the True Cross,c. 1420,12-Oct-1492
Robert Pierpoint,Journalist,CBS White House Correspondent,16-May-1925,22-Oct-2011
Percy A. Pierre,Educator,"President, Prairie View A&M University, 1983-89",03-Jan-1939,-
Jimmy Piersall,Baseball,Crazy center fielder,14-Nov-1929,-
Emma Pierson,Actor,Anna Thornton-Wilton on Hotel Babylon,30-Apr-1981,-
Kate Pierson,Singer,Vocalist for the B-52s,27-Apr-1948,-
Sasha Pieterse,Actor,Alison DiLaurentis on Pretty Little Liars,17-Feb-1996,-
Amy Pietz,Actor,Caroline in the City,06-Mar-1969,-
Eva Pigford,Model,America's Next Top Model,30-Oct-1984,-
Thomas H. Pigford,Engineer,Nuclear chemical engineer,21-Apr-1922,27-Feb-2010
Ricardo Piglia,Author,The Absent City,24-Nov-1941,-
"Eugene F. Pigott, Jr.",Judge,"Judge, NY Court of Appeals",1946,-
James C. Pigott,Business,"Pigott Enterprises, Inc.",c. 1936,-
Mark C. Pigott,Business,CEO of PACCAR,1954,-
William Pigott,Business,Pacific Car & Foundry,27-Jun-1860,19-Jul-1929
Tim Pigott-Smith,Actor,The Jewel in the Crown,13-May-1946,-
Pete Pihos,Football,"Hall of Fame End, Philadelphia Eagles",22-Oct-1923,16-Aug-2011
Albert Pike,Military,"Confederate general, Freemason",29-Dec-1809,02-Apr-1891
Christopher Pike,Author,"Last Vampire, Spooksville, series",Nov-1954,-
James Pike,Religion,5th Episcopal Bishop of California,14-Feb-1913,Sep-1969
Rosamund Pike,Actor,Die Another Day,27-Jan-1979,-
Zebulon Pike,Military,Lent his name to Pike's Peak,05-Jan-1779,27-Apr-1813
Daniel Edward Pilarczyk,Religion,Catholic Archbishop of Cincinnati,12-Aug-1934,-
Rob Pilatus,Dancer,Troubled half of Milli Vanilli,08-Jun-1965,02-Apr-1998
Dominic J. Pileggi,Business,CEO of Thomas & Betts,c. 1951,-
Mitch Pileggi,Actor,Walter Skinner on The X-Files,05-Apr-1952,-
Nicholas Pileggi,Author,Goodfellas screenwriter,22-Feb-1933,-
Bo Pilgrim,Business,Co-Founder of Pilgrim's Pride,08-May-1928,-
Kitty Pilgrim,Journalist,Lou Dobbs Tonight,14-Aug-1954,-
Lonnie Ken Pilgrim,Business,Chairman of Pilgrim's Pride,c. 1958,-
Papa Pilgrim,Criminal,Hillbilly Heaven,c. 1941,24-May-2008
Alison Pill,Actor,Scott Pilgrim vs. the World,27-Nov-1985,-
"Charles J. Pilliod, Jr.",Business,"CEO of Goodyear, 1974-83",20-Oct-1918,-
Pierre Pilote,Hockey,NHL Hall of Famer,11-Dec-1931,-
Józef Pilsudski,Military,"Military dictator of Poland, 1926-35",05-Dec-1867,12-May-1935
Ben Pimlott,Historian,Definitive biography of Elizabeth II,04-Jul-1945,10-Apr-2004
Pimp C,Rapper,Half of UGK,29-Dec-1973,04-Dec-2007
Laffit Pincay,Jockey,Winningest jockey of all time,29-Dec-1946,-
P. B. S. Pinchback,Government,First African-American US Governor,10-May-1837,21-Dec-1921
Bronson Pinchot,Actor,Balki on Perfect Strangers,20-May-1959,-
Victor Pinchuk,Business,"Billionaire, Interpipe Corporation",14-Dec-1960,-
Charles Pinckney,Politician,Author of much of the US Constitution,26-Oct-1757,29-Oct-1824
Charles Cotesworth Pinckney,Government,Not one cent for tribute,25-Feb-1746,16-Aug-1825
Thomas Pinckney,Politician,"Governor of South Carolina, 1787-89",23-Oct-1750,02-Nov-1828
Gregory Pincus,Scientist,Inventor of oral contraceptives,09-Apr-1903,22-Aug-1967
Lionel Pincus,Business,"Co-Founder, Warburg Pincus",02-Mar-1931,10-Oct-2009
Mark Pincus,Business,Founder of Zynga,13-Feb-1966,-
Walter Pincus,Journalist,Washington Post reporter with CIA ties,24-Dec-1932,-
Lynden Oscar Pindling,Politician,Father of The Bahamas,22-Mar-1930,25-Aug-2000
Chris Pine,Actor,Star Trek's new Captain Kirk,26-Aug-1980,-
Robert Pine,Actor,Sgt. Getraer on CHiPS,10-Jul-1941,-
Patricia S. Pineda,Business,"General Counsel, Toyota Motors NA",c. 1952,-
Philippe Pinel,Psychiatrist,Unchained the insane,20-Apr-1745,25-Oct-1826
Sebastián Piñera,Head of State,President of Chile,01-Dec-1949,-
Arthur Wing Pinero,Playwright,The Second Mrs. Tanqueray,24-May-1855,23-Nov-1934
Burton Pines,Activist,Conservative activist,c. 1940,-
John Pinette,Comic,You go now! You been here four owa!,23-Mar-1964,-
Chellie Pingree,Politician,"Congresswoman, Maine 1st",02-Apr-1955,-
Richard Pini,Cartoonist,Elfquest,19-Jul-1950,-
Wendy Pini,Cartoonist,Elfquest,04-Jun-1951,-
Lou Piniella,Baseball,"Manager, Chicago Cubs",28-Aug-1943,-
Pink,Singer,Can't Take Me Home,08-Sep-1979,-
Dan Pink,Author,A Whole New Mind,c. 1964,-
Gary Pinkel,Football,Missouri Head Coach,27-Apr-1952,-
Steven Pinker,Linguist,The Language Instinct,18-Sep-1954,-
Allan Pinkerton,Business,Pinkerton National Detective Agency,25-Aug-1819,01-Jul-1884
Jim Pinkerton,Pundit,Fox News Watch,11-Mar-1958,-
Lydia Pinkham,Business,"Herbal supplements for ""ladies' problems""",09-Feb-1819,17-May-1883
Ryan Pinkston,Actor,Quintuplets,08-Feb-1988,-
Daniel Pinkwater,Author,The Snarkout Boys and the Avocado of Death,15-Nov-1941,-
Arnold Pinnock,Actor,George Ryder on The Listener,10-Dec-1967,-
Danny Pino,Actor,Scotty Valens on Cold Case,15-Apr-1974,-
Augusto Pinochet,Head of State,Overthrew Chile with CIA's help,25-Nov-1915,10-Dec-2006
Gordon Pinsent,Actor,"Fraser, Sr. on Due South",12-Jul-1930,-
David Pinski,Playwright,"Yiddish playwright, Der Oitzer",05-Apr-1872,11-Aug-1959
Robert Pinsky,Poet,"US Poet Laureate, 1997-2000",20-Oct-1940,-
Danny Pintauro,Actor,Jonathan Bower on Who's the Boss?,06-Jan-1976,-
Harold Pinter,Playwright,The Birthday Party,10-Oct-1930,24-Dec-2008
Freida Pinto,Actor,Slumdog Millionaire,18-Oct-1984,-
Michael Pinto-Duschinsky,Scholar,Political scientist,1943,-
Ezio Pinza,Singer,"Operatic bass, NY Metropolitan Opera",18-May-1892,09-May-1957
Billie Piper,Singer,"British teen singer, Dr. Who companion",22-Sep-1982,-
Roddy Piper,Wrestling,"Here to kick ass, chew bubble gum",17-Apr-1954,-
Daniel Pipes,Government,Influential neocon,09-Sep-1949,-
Sally C. Pipes,Activist,Pacific Research Institute,?,-
Scottie Pippen,Basketball,Six-time NBA world champion,25-Sep-1965,-
Dakota A. Pippins,Business,Leo Burnett Urban Think Tank,c. 1947,-
Gerard Piqué,Soccer,FC Barcelona,02-Feb-1987,-
Luigi Pirandello,Playwright,Sei personaggi in cerca d'autore,28-Jun-1867,10-Dec-1936
Giambattista Piranesi,Engraver,Italian graphic artist,04-Oct-1720,09-Nov-1778
Georges Pire,Religion,"Activist monk, Nobel Prize recipient",10-Feb-1910,30-Jan-1969
Dave Pirner,Musician,Frontman for Soul Asylum,16-Apr-1964,-
Jeanine Pirro,Government,Westchester County DA,02-Jun-1951,-
Robert Pirsig,Author,Zen and the Art of Motorcycle Maintenance,06-Sep-1928,-
Pisanello,Artist,"Renaissance medallist, painter",c. 1380,1456
Andrea Pisano,Sculptor,South Baptistery doors in Florence,c. 1270,1348
Giovanni Pisano,Sculptor,Gothic Italian sculptor,c. 1250,c. 1314
Jane G. Pisano,Administrator,Natural History Museum of Los Angeles,c. 1945,-
Nicola Pisano,Sculptor,Classical Italian sculptor,c. 1220,c. 1278
Joe Piscopo,Comic,Saturday Night Live,17-Jun-1951,-
Marie-France Pisier,Actor,The Other Side of Midnight,10-May-1944,24-Apr-2011
Christopher Pissarides,Economist,Job creation and destruction,c. 1948,-
Camille Pissarro,Painter,French Impressionist painter,10-Jul-1830,13-Nov-1903
Walter Piston,Composer,Symphony No. 3,20-Jan-1894,12-Nov-1976
Edward J. Piszek,Business,Co-founder of Mrs. Paul's frozen foods,24-Oct-1916,27-Mar-2004
Pitbull,Rapper,M.I.A.M.I.,15-Jan-1981,-
Nathaniel Pitcher,Politician,Twice Congressman from New York,1777,25-May-1836
Maria Pitillo,Actor,Tina Calcatera on Providence,08-Jan-1966,-
Rick Pitino,Basketball,"Head Coach, University of Louisville",18-Sep-1952,-
Walter B. Pitkin,Psychologist,Life Begins at Forty,06-Feb-1878,25-Jan-1953
Brian Pitman,Business,CEO of Lloyds TSB,13-Dec-1931,11-Mar-2010
Charles J. Pitman,Business,Retired Amoco executive,c. 1942,-
Sir Isaac Pitman,Inventor,Stenographic Soundhand,04-Jan-1813,12-Jan-1897
Gene Pitney,Singer/Songwriter,60s teen idol and songwriter,17-Feb-1940,05-Apr-2006
Mahlon Pitney,Judge,"US Supreme Court Justice, 1912-22",05-Feb-1858,09-Dec-1924
Sacha Pitoëff,Actor,Last Year at Marienbad,11-Mar-1920,21-Jul-1990
Brad Pitt,Actor,Ocean's Eleven,18-Dec-1963,-
Harvey Pitt,Government,"SEC Chairman, 2001-03",28-Feb-1945,-
Ingrid Pitt,Actor,Countess Dracula,21-Nov-1937,23-Nov-2010
Michael Pitt,Actor,Hedwig and the Angry Inch,10-Apr-1981,-
William Pitt the Elder,Head of State,Seven Years War,15-Nov-1708,11-May-1778
William Pitt the Younger,Head of State,UK Prime Minister,28-May-1759,23-Jan-1806
Patrick S. Pittard,Business,"CEO of Heidrick & Struggles, 1997-2002",c. 1945,-
Key Pittman,Politician,"US Senator from Nevada, 1913-40",12-Sep-1872,10-Nov-1940
Vail Pittman,Politician,"Governor of Nevada, 1945-51",17-Sep-1880,29-Jan-1964
Joseph R. Pitts,Politician,"Congressman, Pennsylvania 16th",10-Oct-1939,-
Zazu Pitts,Actor,The Wedding March,03-Jan-1894,07-Jun-1963
Kenneth S. Pitzer,Chemist,"President of Rice University, 1961-68",06-Jan-1914,26-Dec-1997
Pope Pius II,Religion,"Roman Catholic Pope, 1458-64",18-Oct-1405,14-Aug-1464
Pope Pius IV,Religion,Roman Catholic Pope 1560-65,31-Mar-1499,09-Dec-1565
Pope Pius IX,Religion,Declared himself infallible,13-May-1792,07-Feb-1878
Pope Pius V,Religion,"Roman Catholic Pope, 1566-72",17-Jan-1504,01-May-1572
Pope Pius VI,Religion,"Roman Catholic Pope, 1775-99",27-Dec-1717,29-Aug-1799
Pope Pius VII,Religion,Roman Catholic Pope 1800-23,14-Aug-1740,20-Aug-1823
Pope Pius VIII,Religion,"Pope for 20 months, maybe poisoned",20-Nov-1761,30-Nov-1830
Pope Pius X,Religion,"Roman Catholic Pontiff, 1903-14",02-Jun-1835,20-Aug-1914
Pope Pius XI,Religion,Signed Lateran Treaties with Mussolini,31-May-1857,10-Feb-1939
Pope Pius XII,Religion,Signed treaty with Hitler,02-Mar-1876,09-Oct-1958
Antoninus Pius,Royalty,"Roman Emperor, 138-161 AD",19-Sep-86 AD,7-Mar-161 AD
Pope Pius III,Religion,"Roman Catholic Pope, 1503",09-May-1439,18-Oct-1503
Frances Fox Piven,Activist,Regulating The Poor,10-Oct-1932,-
Jeremy Piven,Actor,Ari Gold on Entourage,26-Jul-1965,-
Francisco Pizarro,Explorer,Conqueror of the Inca,c. 1471,26-Jun-1541
Martha M. Place,Criminal,First woman executed by electric chair,c. 1855,20-Mar-1899
Mary Kay Place,Actor,"Mary Hartman, Mary Hartman",23-Sep-1947,-
Jeff Plagge,Business,Midwest Heritage Bank,c. 1956,-
Suzie Plakson,Actor,Mary Margaret Tynan on Love & War,03-Jun-1958,-
Valerie Plame,Spy,CIA operative outed by Bush officials,19-Apr-1963,-
Tony Plana,Actor,Ignacio Suarez on Ugly Betty,19-Apr-1952,-
Max Planck,Physicist,Originator of quantum theory,23-Apr-1858,04-Oct-1947
Nigel Planer,Actor,Neil on The Young Ones,22-Feb-1953,-
Raymond Plank,Business,Founder of Apache Corporation,29-May-1922,-
Scott Plank,Actor,L.A. Takedown,11-Nov-1958,24-Oct-2002
E. Gail de Planque,Physicist,Nuclear physicist,c. 1944,-
John C. Plant,Business,CEO of TRW Automotive,c. 1954,-
Robert Plant,Singer,Lead singer of Led Zeppelin,20-Aug-1948,-
Bill Plante,Journalist,CBS White House correspondent,14-Jan-1938,-
Jacques Plante,Hockey,NHL Hall of Famer,17-Jan-1929,27-Feb-1986
Laura La Plante,Actor,The Cat and the Canary,01-Nov-1904,14-Oct-1996
John S. Plaskett,Astronomer,Plaskett's star,17-Nov-1865,17-Oct-1941
Thomas G. Plaskett,Business,"CEO of Pan-Am, 1988-91",c. 1943,-
James Plaskitt,Politician,"British MP, Warwick and Leamington",23-Jun-1954,-
Gilbert Plass,Physicist,Climate change scientist,22-Mar-1922,01-Mar-2004
Sylvia Plath,Poet,Daddy,27-Oct-1932,11-Feb-1963
Michel Platini,Soccer,Exceptional French midfielder,21-Jun-1955,-
Plato,Philosopher,The Republic,c. 427 BC,c. 347 BC
Dana Plato,Actor,Kimberly on Diff'rent Strokes,07-Nov-1964,09-May-1999
Charles Platt,Author,Science fiction novelist,1945,-
Edward Platt,Actor,Chief on Get Smart,14-Feb-1916,19-Mar-1974
Lew Platt,Business,"CEO of Hewlett-Packard, 1992-99",11-Apr-1941,08-Sep-2005
Nicholas Platt,Diplomat,"US Ambassador to Pakistan, 1991-92",10-Mar-1936,-
Oliver Platt,Actor,Bartlet's lawyer on The West Wing,12-Jan-1960,-
Thomas C. Platt,Politician,"US Senator from New York, 1897-1909",15-Jul-1833,06-Mar-1910
Peter M. Platten III,Business,"Vice Chairman of Marshall & Ilsley, 1994-97",c. 1940,-
Todd Platts,Politician,"Congressman, Pennsylvania 19th",05-Mar-1962,-
Seth P. Plattus,Attorney,CAO of Cerberus Capital Management,c. 1961,-
Plautus,Playwright,Earliest extant Roman playwright,c. 254 BC,184 BC
Gary Player,Golf,Winner of 9 Major tournaments,01-Nov-1935,-
John Playfair,Mathematician,Huttonian Theory of the Earth,10-Mar-1748,20-Jul-1819
Aubrey Plaza,Comic,Parks and Recreation,26-Jun-1984,-
Donald Pleasence,Actor,The Great Escape,05-Oct-1919,02-Feb-1995
Costa M. Pleicones,Judge,"Justice, South Carolina Supreme Court",29-Feb-1944,-
Suzanne Pleshette,Actor,The Birds,31-Jan-1937,19-Jan-2008
Danielle Pletka,Pundit,American Enterprise Institute,12-Jun-1963,-
Plies,Rapper,The Real Testament,01-Jul-1976,-
George Plimpton,Author,Paper Lion,18-Mar-1927,25-Sep-2003
James Plimpton,Inventor,Four-wheeled roller skates,14-Apr-1828,1911
Martha Plimpton,Actor,The Goonies,16-Nov-1970,-
Pliny the Elder,Author,Naturalis Historia,23 AD,25-Aug-79 AD
Pliny the Younger,Author,Epistulae,c. 61 AD,c. 113 AD
Charles Plosser,Economist,"President and CEO, Philadelphia Fed",19-Sep-1948,-
Plotinus,Philosopher,Founder of the Neoplatonic school,205 AD,270 AD
Jack Plotnick,Actor,Xandir on Drawn Together,30-Oct-1968,-
David Plouffe,Government,Senior Advisor to Barack Obama,27-May-1967,-
Joan Plowright,Actor,Enchanted April,28-Oct-1929,-
Julius Plücker,Mathematician,Analytical geometry,16-Jul-1801,22-May-1868
Eve Plumb,Actor,Jan on The Brady Bunch,29-Apr-1958,-
J. H. Plumb,Historian,England in the Eighteenth Century,20-Aug-1911,21-Oct-2001
Robin A. Plumbridge,Business,Gold Fields of South Africa,c. 1936,-
Joseph J. Plumeri,Business,CEO of Willis Group Holdings,c. 1944,-
Amanda Plummer,Actor,Pulp Fiction,23-Mar-1957,-
Christopher Plummer,Actor,A Beautiful Mind,13-Dec-1929,-
Glenn Plummer,Actor,South Central,18-Aug-1961,-
Jake Plummer,Football,"Former Cardinals, Broncos QB",19-Dec-1974,-
James D. Plummer,Educator,Dean of Stanford's Engineering School,03-Dec-1944,-
Jim Plunkett,Football,Superbowl MVP,05-Dec-1947,-
Roy Plunkett,Chemist,Accidentally discovered Teflon,26-Jun-1910,12-May-1994
Plutarch,Author,Lives,46 AD,c. 120 AD
Bill Plympton,Film Director,I Married a Strange Person!,30-Apr-1946,-
Pocahontas,Royalty,Native American princess,c. 1595,21-Mar-1617
John Podesta,Government,Ex-Clinton Deputy Chief of Staff,c. 1949,-
Nikolai Podgorny,Head of State,"President of the USSR, 1965-77",18-Feb-1903,11-Jan-1983
John Podhoretz,Columnist,Conservative columnist,18-Apr-1961,-
Norman Podhoretz,Author,Prominent neocon author,16-Jan-1930,-
Frank Podmore,Author,Fabian Society,05-Feb-1856,14-Aug-1910
Johnny Podres,Baseball,1955 World Series MVP,30-Sep-1932,13-Jan-2008
John W. Poduska,Business,Founder of Apollo Computer,c. 1937,-
Edgar Allan Poe,Author,The Raven,19-Jan-1809,07-Oct-1849
"Fernando Poe, Jr.",Politician,Filipino actor turned presidential candidate,20-Aug-1939,13-Dec-2004
Ted Poe,Politician,"Congressman, Texas 2nd",13-Oct-1948,-
Tony Poe,Military,CIA ear collection operative in Southeast Asia,18-Sep-1924,27-Jul-2003
Amy Poehler,Actor,Leslie Knope on Parks and Recreation,16-Sep-1971,-
Johann Christian Poggendorff,Physicist,Annalen der Physik und Chemie,29-Dec-1796,24-Jan-1877
Frederik Pohl,Author,Futurian science fiction writer,26-Nov-1919,-
Robert C. Pohlad,Business,CEO of PepsiAmericas,c. 1954,-
Eric Pohlmann,Actor,They Who Dare,18-Jul-1913,25-Jul-1979
Henri Poincaré,Mathematician,Poincaré Conjecture,29-Apr-1854,17-Jul-1912
John Poindexter,Military,Iran-Contra criminal,12-Aug-1936,-
Miles Poindexter,Politician,"US Senator from Washington, 1911-23",22-Apr-1868,21-Sep-1946
Anita Pointer,Musician,The Pointer Sisters,23-Jan-1948,-
Bonnie Pointer,Singer,The Pointer Sisters,11-Jul-1951,-
June Pointer,Musician,The Pointer Sisters,30-Nov-1953,11-Apr-2006
Ruth Pointer,Musician,The Pointer Sisters,19-Mar-1946,-
Jean-Marie Poiré,Film Director,The Visitors,10-Jul-1945,-
Richard Poirier,Critic,"Raritan, A Quarterly Review",09-Sep-1925,15-Aug-2009
Siméon-Denis Poisson,Mathematician,Poisson distribution,21-Jun-1781,25-Apr-1840
Sidney Poitier,Actor,In The Heat Of The Night,20-Feb-1927,-
Steve Poizner,Government,California Insurance Commissioner,04-Jan-1957,-
Robert N. Pokelwaldt,Business,"CEO of York International, 1991-99",c. 1936,-
